has_measurement_cpc,has_testing_cpc,has_ml_cpc,has_data_processing_cpc,has_bio_assay_cpc,has_statistics_cpc,n_patents,benchmark_score_mean,benchmark_flag_share
0,0,0,0,0,0,2215305,0.1865955110959704,0.2623322747883474
,,,,,,804983,0.010756909135235158,0.012610204190647505
0,0,0,1,0,0,280452,0.043085024654377885,0.05058263089583957
1,0,0,0,0,0,181223,0.5624890806436075,0.6490897954453905
0,0,0,0,0,1,54189,0.06033481755608646,0.0778386757460001
0,0,1,0,0,0,36144,0.4155537981566738,0.5043160690571049
0,0,0,1,0,1,24356,0.034220428957534514,0.041427163737888
0,0,0,0,1,0,9048,0.26314477458876345,0.34250663129973474
1,1,0,0,0,0,7184,0.6184935536368276,0.7256403118040089
0,0,1,1,0,0,6451,0.1934956113954968,0.2289567508913347
1,0,0,0,1,0,5797,0.36573143607110087,0.44643781266172156
0,0,1,0,0,1,5621,0.32342583941231107,0.39103362391033625
1,0,0,1,0,0,4955,0.2012892157316957,0.23955600403632693
1,0,1,0,0,0,3525,0.6152392481458226,0.708936170212766
0,0,1,1,0,1,2748,0.21309214710664243,0.25655021834061137
1,0,0,0,0,1,726,0.23997875201526714,0.30303030303030304
1,0,1,1,0,0,483,0.34088667441951814,0.38716356107660455
1,0,0,1,0,1,351,0.13482844150930176,0.15954415954415954
1,0,1,0,0,1,244,0.586214122173776,0.6639344262295082
1,0,1,1,0,1,167,0.253304545293376,0.32934131736526945
0,0,1,0,1,0,141,0.6691598276430658,0.75177304964539
1,1,0,1,0,0,95,0.3474172290159988,0.37894736842105264
1,0,1,0,1,0,76,0.43728635681475414,0.47368421052631576
1,1,1,0,0,0,55,0.8227562204775453,0.9272727272727272
0,0,0,1,1,0,22,0.3666139176361581,0.36363636363636365
1,1,0,0,0,1,19,0.7273796225784408,0.8421052631578947
0,0,1,0,1,1,13,0.8838894330553324,0.9230769230769231
1,1,1,1,0,1,12,0.4620738748663736,0.6666666666666666
1,0,0,1,1,0,7,0.14346330693226997,0.14285714285714285
1,1,0,0,1,0,7,0.6109038200168901,0.8571428571428571
1,1,1,0,0,1,6,0.8617672637087871,1.0
0,0,0,0,1,1,6,0.11480157417777305,0.16666666666666666
1,1,0,1,0,1,5,0.18901722847110938,0.2
1,1,1,1,0,0,4,0.5906314564682995,0.75
1,0,0,0,1,1,4,0.5009050572827581,0.5
1,0,1,1,1,0,3,0.2884859921564963,0.3333333333333333
0,0,1,1,1,1,1,0.0008996911942065237,0.0
1,0,1,1,1,1,1,0.0014723931054357578,0.0
1,0,1,0,1,1,1,0.9888415676923413,1.0
