Policy variable,policy_mean,outcome_mean,n
Privacy level exposure,2.924,0.223,2439
Privacy level exposure,3.0,0.219,317
Privacy level exposure,3.003,0.302,327
Privacy level exposure,3.019,0.255,514
Privacy level exposure,3.056,0.265,512
Privacy level exposure,3.167,0.255,515
Privacy level exposure,3.812,0.281,513
ECIPE cumulative exposure,3.622,0.258,344
ECIPE cumulative exposure,5.686,0.286,179
ECIPE cumulative exposure,7.454,0.25,287
ECIPE cumulative exposure,10.614,0.266,230
ECIPE cumulative exposure,13.426,0.22,206
ECIPE cumulative exposure,15.301,0.23,249
ECIPE cumulative exposure,18.618,0.213,250
ECIPE cumulative exposure,22.845,0.209,248
ECIPE cumulative exposure,27.128,0.217,253
ECIPE cumulative exposure,33.418,0.226,245
