naics_code,total_data_patents,global_data_patent_share,avg_data_share,avg_benchmark_score,years_observed
5241,20805.5,0.107,0.168,0.123,102
5251,20681.5,0.106,0.172,0.126,101
3344,17501.166666666668,0.09,0.107,0.081,94
3345,11984.25,0.062,0.243,0.19,95
3341,7502.5,0.039,0.152,0.113,77
5417,7445.833333333333,0.038,0.136,0.101,96
3333,6515.5,0.033,0.171,0.13,105
3331,6469.916666666667,0.033,0.132,0.098,104
5613,5938.0,0.03,0.125,0.097,38
2211,5880.5,0.03,0.231,0.167,99
3391,5505.416666666667,0.028,0.253,0.193,82
3346,4743.000000000001,0.024,0.181,0.133,70
3342,4576.166666666666,0.023,0.132,0.105,40
3312,4464.333333333333,0.023,0.158,0.118,58
3353,4420.0,0.023,0.138,0.106,100
3329,4384.833333333333,0.023,0.236,0.181,101
3339,3781.416666666667,0.019,0.216,0.156,104
3259,3695.25,0.019,0.135,0.098,105
3364,3350.8333333333335,0.017,0.203,0.15,96
3322,2924.75,0.015,0.103,0.079,104
